Step,Scaffold,SMILES,Metadata,Full Substructure,total_score,ID
387.0,Clc1ccc(Cn2cc(COc3ccc(Cl)cc3)nn2)cc1,Clc1ccc(Cn2cc(COc3ccc(Cl)cc3)nn2)cc1,,0.5,0.5,Automated Curriculum Learning Demo_0
387.0,c1ccc(-n2ncc3cccnc32)nc1,c1ccc(-n2ncc3cccnc32)nc1,,0.5,0.5,Automated Curriculum Learning Demo_1
387.0,N=c1[nH]cnc2c1ncn2C1OC(CO)C(O)C1O,N=c1[nH]cnc2c1ncn2C1OC(CO)C(O)C1O,,0.5,0.5,Automated Curriculum Learning Demo_2
387.0,c1cnc2c(c1)oc1ncccc12,c1cnc2c(c1)oc1ncccc12,,0.5,0.5,Automated Curriculum Learning Demo_3
387.0,c1coc(-c2ncnc3sccc23)c1,c1coc(-c2ncnc3sccc23)c1,,0.5,0.5,Automated Curriculum Learning Demo_4
387.0,O=C1C(=O)c2c(nc3ccccn23)-c2ncccc21,O=C1C(=O)c2c(nc3ccccn23)-c2ncccc21,,0.5,0.5,Automated Curriculum Learning Demo_5
387.0,c1cnc2[nH]cc(-c3cnccn3)c2c1,c1cnc2[nH]cc(-c3cnccn3)c2c1,,0.5,0.5,Automated Curriculum Learning Demo_6
387.0,c1ccc2nccnc2c1,c1ccc2nccnc2c1,,0.5,0.5,Automated Curriculum Learning Demo_7
387.0,O=C(NCc1ccccn1)c1cnc2cccnc2c1,O=C(NCc1ccccn1)c1cnc2cccnc2c1,,0.5,0.5,Automated Curriculum Learning Demo_8
387.0,c1cnc2cnoc2c1,c1cnc2cnoc2c1,,0.5,0.5,Automated Curriculum Learning Demo_9
387.0,NCC1CCN(c2cccc(-n3ncc4ncccc43)n2)CC1,NCC1CCN(c2cccc(-n3ncc4ncccc43)n2)CC1,,0.5,0.5,Automated Curriculum Learning Demo_10
387.0,c1cnc2nncn2c1,c1cnc2nncn2c1,,0.5,0.5,Automated Curriculum Learning Demo_11
387.0,c1ccc(-n2cnc3cnccc32)nc1,c1ccc(-n2cnc3cnccc32)nc1,,0.5,0.5,Automated Curriculum Learning Demo_12
387.0,c1cc(-c2cnc3sccn23)co1,c1cc(-c2cnc3sccn23)co1,,0.5,0.5,Automated Curriculum Learning Demo_13
387.0,c1cnc2[nH]ccc2c1,c1cnc2[nH]ccc2c1,,0.5,0.5,Automated Curriculum Learning Demo_14
387.0,O=C(NNC(=O)c1ccccc1Br)c1cccs1,O=C(NNC(=O)c1ccccc1Br)c1cccs1,,0.5,0.5,Automated Curriculum Learning Demo_15
387.0,CC1(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)CCSCC(=N)N1,CC1(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)CCSCC(=N)N1,,0.5,0.5,Automated Curriculum Learning Demo_16
387.0,c1cnc2ccsc2c1,c1cnc2ccsc2c1,,0.5,0.5,Automated Curriculum Learning Demo_17
