ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,0:0:0,-5.1,c1cnn2ccnc2c1,True
0,0,1,0:0:1,-4.9,c1cnn2ccnc2c1,False
1,0,0,1:0:0,-5.3,c1cnc2cccnc2c1,True
1,0,1,1:0:1,-5.3,c1cnc2cccnc2c1,False
2,0,0,2:0:0,-5.6,c1cnc2ncccc2c1,True
2,0,1,2:0:1,-5.6,c1cnc2ncccc2c1,False
3,0,0,3:0:0,-5.0,Cn1ncc2ncccc21,True
3,0,1,3:0:1,-4.9,Cn1ncc2ncccc21,False
4,0,0,4:0:0,-5.3,c1cnc2cccnc2c1,True
4,0,1,4:0:1,-5.3,c1cnc2cccnc2c1,False
5,0,0,5:0:0,-5.2,c1cnc2cnccc2c1,True
5,0,1,5:0:1,-5.2,c1cnc2cnccc2c1,False
6,0,0,6:0:0,-6.3,c1cnn2cc(-c3ncco3)nc2c1,True
6,0,1,6:0:1,-6.1,c1cnn2cc(-c3ncco3)nc2c1,False
7,0,0,7:0:0,-5.3,c1cnc2cccnc2c1,True
7,0,1,7:0:1,-5.3,c1cnc2cccnc2c1,False
8,0,0,8:0:0,-4.8,c1cnc2ccsc2c1,True
8,0,1,8:0:1,-4.8,c1cnc2ccsc2c1,False
9,0,0,9:0:0,-4.8,c1cnc2ccsc2c1,True
9,0,1,9:0:1,-4.8,c1cnc2ccsc2c1,False
10,0,0,10:0:0,-7.5,COc1ccccc1C1COc2ncccc2C1O,True
10,0,1,10:0:1,-7.5,COc1ccccc1C1COc2ncccc2C1O,False
11,0,0,11:0:0,-4.9,c1cnc2nsnc2c1,True
11,0,1,11:0:1,-4.7,c1cnc2nsnc2c1,False
12,0,0,12:0:0,-5.1,c1cnn2ccnc2c1,True
12,0,1,12:0:1,-4.9,c1cnn2ccnc2c1,False
13,0,0,13:0:0,-4.8,c1cnc2ccsc2c1,True
13,0,1,13:0:1,-4.8,c1cnc2ccsc2c1,False
14,0,0,14:0:0,-6.8,c1coc(-c2cnc3ncccc3n2)c1,True
14,0,1,14:0:1,-6.7,c1coc(-c2cnc3ncccc3n2)c1,False
15,0,0,15:0:0,-6.3,c1ccc2ncccc2c1,True
15,0,1,15:0:1,-6.2,c1ccc2ncccc2c1,False
16,0,0,16:0:0,-5.2,Clc1cc2ncccc2s1,True
16,0,1,16:0:1,-5.2,Clc1cc2ncccc2s1,False
17,0,0,17:0:0,-6.3,c1ccc2ncccc2c1,True
17,0,1,17:0:1,-6.2,c1ccc2ncccc2c1,False
18,0,0,18:0:0,-5.3,c1cnc2cccnc2c1,True
18,0,1,18:0:1,-5.3,c1cnc2cccnc2c1,False
19,0,0,19:0:0,-5.1,c1cnn2ccnc2c1,True
19,0,1,19:0:1,-4.9,c1cnn2ccnc2c1,False
20,0,0,20:0:0,-4.9,c1ccc2scnc2c1,True
20,0,1,20:0:1,-4.9,c1ccc2scnc2c1,False
21,0,0,21:0:0,-4.4,c1ccncc1,True
21,0,1,21:0:1,-3.8,c1ccncc1,False
22,0,0,22:0:0,-4.8,c1cnc2ccsc2c1,True
22,0,1,22:0:1,-4.8,c1cnc2ccsc2c1,False
23,0,0,23:0:0,-5.3,c1cnc2cccnc2c1,True
23,0,1,23:0:1,-5.3,c1cnc2cccnc2c1,False
24,0,0,24:0:0,-5.1,c1cnc2ccnn2c1,True
24,0,1,24:0:1,-4.7,c1cnc2ccnn2c1,False
25,0,0,25:0:0,-9.1,O=C1c2ccccc2OC2c3cccnc3NCN12,True
25,0,1,25:0:1,-9.0,O=C1c2ccccc2OC2c3cccnc3NCN12,False
26,0,0,26:0:0,-6.3,c1ccc2ncccc2c1,True
26,0,1,26:0:1,-6.2,c1ccc2ncccc2c1,False
27,0,0,27:0:0,-6.9,Fc1cc(F)c2ncccc2c1,True
27,0,1,27:0:1,-6.8,Fc1cc(F)c2ncccc2c1,False
28,0,0,28:0:0,-5.2,Clc1ccc2ncsc2c1,True
28,0,1,28:0:1,-5.1,Clc1ccc2ncsc2c1,False
29,0,0,29:0:0,-5.3,c1cnc2cccnc2c1,True
29,0,1,29:0:1,-5.3,c1cnc2cccnc2c1,False
30,0,0,30:0:0,-7.7,N#CC1(C#N)C(=N)c2cocc2C1c1ccccc1,True
30,0,1,30:0:1,-7.3,N#CC1(C#N)C(=N)c2cocc2C1c1ccccc1,False
31,0,0,31:0:0,-5.3,c1ccc2nsnc2c1,True
31,0,1,31:0:1,-5.1,c1ccc2nsnc2c1,False
32,0,0,32:0:0,-5.7,C1=Cc2ncnn3cnc(c23)O1,True
32,0,1,32:0:1,-5.5,C1=Cc2ncnn3cnc(c23)O1,False
33,0,0,33:0:0,-5.6,c1cnc2conc2c1,True
33,0,1,33:0:1,-5.3,c1cnc2conc2c1,False
34,0,0,34:0:0,-5.3,c1cnc2scnc2c1,True
34,0,1,34:0:1,-4.7,c1cnc2scnc2c1,False
35,0,0,35:0:0,-6.5,COc1ccc(-c2cccs2)cc1,True
35,0,1,35:0:1,-6.5,COc1ccc(-c2cccs2)cc1,False
36,0,0,36:0:0,-5.0,c1cnc2sccc2c1,True
36,0,1,36:0:1,-4.9,c1cnc2sccc2c1,False
37,0,0,37:0:0,-4.7,c1cc2ccsc2cn1,True
37,0,1,37:0:1,-4.7,c1cc2ccsc2cn1,False
38,0,0,38:0:0,-4.5,c1cn2ccsc2n1,True
38,0,1,38:0:1,-3.9,c1cn2ccsc2n1,False
39,0,0,39:0:0,-3.8,c1ccoc1,True
39,0,1,39:0:1,-3.5,c1ccoc1,False
40,0,0,40:0:0,-5.3,c1cnc2cccnc2c1,True
40,0,1,40:0:1,-5.3,c1cnc2cccnc2c1,False
41,0,0,41:0:0,-5.3,c1cnc2scnc2c1,True
41,0,1,41:0:1,-4.7,c1cnc2scnc2c1,False
42,0,0,42:0:0,-5.4,Cc1csc2cccnc12,True
42,0,1,42:0:1,-5.4,Cc1csc2cccnc12,False
43,0,0,43:0:0,-5.1,c1cnc2ccnn2c1,True
43,0,1,43:0:1,-4.7,c1cnc2ccnn2c1,False
44,0,0,44:0:0,-5.7,COc1ccc2ccsc2c1,True
44,0,1,44:0:1,-5.6,COc1ccc2ccsc2c1,False
45,0,0,45:0:0,-5.1,Cc1ccccc1,True
