Wall time,Step,Value
1694064957,0,0
1694065141,1,-2.544499238
1694065269,2,-1.522448619
1694065393,3,-2.502024889
1694065795,4,-2.415460904
1694065918,5,-2.452426513
1694066035,6,-0.811761777
1694066160,7,-2.350094398
1694066280,8,-2.439391534
1694066682,9,-1.632615884
1694066852,10,-2.36798199
1694067020,11,-2.415383577
1694067193,12,-2.519099712
1694067622,13,-2.425008138
1694067799,14,-1.689569632
1694067918,15,-2.491658131
1694068038,16,-2.598146359
1694068184,17,-1.779077609
1694068495,18,-1.768614054
1694068617,19,-2.498612722
1694068738,20,-2.428344568
1694068865,21,-2.648412546
1694068996,22,-2.362130086
1694069399,23,-2.559514364
1694069582,24,-2.388444742
1694069703,25,-2.537346284
1694069820,26,-2.545982043
1694069992,27,-2.578019063
1694070332,28,-2.585800012
1694070507,29,-1.509880463
1694070619,30,-2.496753454
1694070786,31,-1.674439033
1694071256,32,-1.650804122
1694071422,33,-2.42055734
1694071529,34,-2.462662935
1694071634,35,-2.49855264
1694071741,36,-2.529374202
1694072142,37,-2.519870838
1694072263,38,-2.549023708
1694072433,39,-2.649708192
1694073031,40,-2.606711864
1694073197,41,-2.36888512
1694073313,42,-2.544865449
1694073426,43,-2.487115224
1694073543,44,-2.466828267
1694073942,45,-2.421548208
1694074061,46,-1.745990197
1694074185,47,-2.547248602
1694074310,48,-2.53053387
1694074432,49,-2.640884876
1694074901,50,-2.563452721
1694075019,51,-2.619709333
1694075144,52,-2.492445469
1694075272,53,-2.665893793
1694075827,54,-1.719427029
1694075965,55,-2.571814537
1694076096,56,-2.474427621
1694076227,57,-2.472792069
1694076740,58,-1.708348354
1694076870,59,-2.66863354
1694076994,60,-2.464343866
1694077118,61,-2.094724139
1694077596,62,-2.7003812
1694077768,63,-2.57032609
1694077961,64,-1.775748014
1694078086,65,-2.667588711
1694078490,66,-2.675551256
1694078612,67,-2.610465686
1694078751,68,-2.553935528
1694078878,69,-2.754572709
1694079060,70,-2.566157182
1694079371,71,-2.596679846
1694079556,72,-1.814235608
1694079750,73,-2.653608799
1694079931,74,-2.545686881
1694080244,75,-2.694967349
1694080370,76,-2.43486762
1694080561,77,-2.635753314
1694080693,78,-2.601193746
1694080824,79,-2.702890396
1694081226,80,-1.885192712
1694081348,81,-2.644677003
1694081486,82,-2.672553937
1694081611,83,-2.746658325
1694081733,84,-2.57319212
1694082163,85,-2.534873962
1694082292,86,-1.731626034
1694082416,87,-2.80130132
1694082538,88,-2.715347131
1694082660,89,-2.719437202
1694082973,90,-2.911559502
1694083227,91,-2.676912308
1694083356,92,-2.784921646
1694083479,93,-2.745720545
1694083973,94,-1.766102711
1694084163,95,-2.778105895
1694084287,96,-2.692946355
1694084411,97,-2.793346882
1694084813,98,-2.697452943
1694084937,99,-2.713622173
,,-2.777664741
