Wall time,Step,Value
1694064957,0,-35.3713
1694065141,1,-34.8076
1694065269,2,-34.4188
1694065393,3,-34.5058
1694065795,4,-34.7963
1694065918,5,-34.8883
1694066035,6,-34.6616
1694066160,7,-34.5491
1694066280,8,-35.3447
1694066682,9,-36.2602
1694066852,10,-35.1719
1694067020,11,-36.4569
1694067193,12,-35.7401
1694067622,13,-37.004
1694067799,14,-36.1196
1694067918,15,-36.4323
1694068038,16,-35.5438
1694068184,17,-35.6942
1694068495,18,-34.8978
1694068617,19,-34.749
1694068738,20,-35.8624
1694068865,21,-35.4474
1694068996,22,-35.6298
1694069399,23,-35.1727
1694069582,24,-36.0145
1694069703,25,-37.2702
1694069820,26,-35.0917
1694069992,27,-37.4593
1694070332,28,-35.5299
1694070507,29,-36.9942
1694070619,30,-35.1784
1694070786,31,-37.3812
1694071256,32,-36.8106
1694071422,33,-36.1244
1694071529,34,-37.4418
1694071634,35,-36.1928
1694071741,36,-35.006
1694072142,37,-35.7751
1694072263,38,-36.3446
1694072433,39,-35.1696
1694073031,40,-35.9303
1694073197,41,-37.269
1694073313,42,-35.9742
1694073426,43,-37.2022
1694073543,44,-37.0247
1694073942,45,-37.5094
1694074061,46,-35.9227
1694074185,47,-36.4908
1694074310,48,-37.2954
1694074432,49,-35.4655
1694074901,50,-38.5567
1694075019,51,-35.8188
1694075144,52,-36.1142
1694075272,53,-35.9724
1694075827,54,-35.449
1694075965,55,-36.395
1694076096,56,-37.1985
1694076227,57,-35.7853
1694076740,58,-35.6753
1694076870,59,-36.5911
1694076994,60,-35.7834
1694077118,61,-35.7204
1694077596,62,-36.6295
1694077768,63,-35.7286
1694077961,64,-35.1784
1694078086,65,-36.2083
1694078490,66,-36.7226
1694078612,67,-36.851
1694078751,68,-35.5521
1694078878,69,-35.8026
1694079060,70,-36.0351
1694079371,71,-35.2739
1694079556,72,-35.5298
1694079750,73,-35.9634
1694079931,74,-36.0166
1694080244,75,-34.6793
1694080370,76,-37.083
1694080561,77,-36.299
1694080693,78,-35.4894
1694080824,79,-35.3595
1694081226,80,-36.4588
1694081348,81,-35.279
1694081486,82,-36.901
1694081611,83,-36.1722
1694081733,84,-36.3311
1694082163,85,-36.4818
1694082292,86,-36.3311
1694082416,87,-34.0225
1694082538,88,-36.3292
1694082660,89,-35.5855
1694082973,90,-34.6145
1694083227,91,-36.6666
1694083356,92,-33.6562
1694083479,93,-34.6227
1694083973,94,-35.3641
1694084163,95,-33.8738
1694084287,96,-33.6378
1694084411,97,-34.1083
1694084813,98,-33.5354
1694084937,99,-33.8383
1694085021,100,-33.5015
