ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,0:0:0,-5.63948,[H]c1sc2nc(N([H])C34C([H])([H])C5([H])C([H])([H])C([H])(C([H])([H])C([H])(C5([H])[H])C3([H])[H])C4([H])[H])sc2c1[H],True
0,0,1,0:0:1,-5.11698,[H]c1sc2nc(N([H])C34C([H])([H])C5([H])C([H])([H])C([H])(C([H])([H])C([H])(C5([H])[H])C3([H])[H])C4([H])[H])sc2c1[H],False
0,0,2,0:0:2,-3.6367,[H]c1sc2nc(N([H])C34C([H])([H])C5([H])C([H])([H])C([H])(C([H])([H])C([H])(C5([H])[H])C3([H])[H])C4([H])[H])sc2c1[H],False
0,1,0,0:1:0,-2.75148,[H]c1sc2c(sc(N([H])C34C([H])([H])C5([H])C([H])([H])C([H])(C([H])([H])C([H])(C5([H])[H])C3([H])[H])C4([H])[H])[n+]2[H])c1[H],True
0,1,1,0:1:1,-2.27461,[H]c1sc2c(sc(N([H])C34C([H])([H])C5([H])C([H])([H])C([H])(C([H])([H])C([H])(C5([H])[H])C3([H])[H])C4([H])[H])[n+]2[H])c1[H],False
1,0,0,1:0:0,-4.56511,[H]c1c([H])c2c3c(nc([H])n3C([H])([H])C([H])(C([H])([H])[H])[N+]([H])(C([H])([H])[H])C2([H])[H])c1[H],True
1,0,1,1:0:1,-4.09195,[H]c1c([H])c2c3c(nc([H])n3C([H])([H])C([H])(C([H])([H])[H])[N+]([H])(C([H])([H])[H])C2([H])[H])c1[H],False
1,0,2,1:0:2,-3.96371,[H]c1c([H])c2c3c(nc([H])n3C([H])([H])C([H])(C([H])([H])[H])[N+]([H])(C([H])([H])[H])C2([H])[H])c1[H],False
2,0,0,2:0:0,-3.2564,[H]OC([H])([H])C1([H])C([H])([H])C2([H])OC(=O)C(=C([H])[H])C2([H])C([H])(O[H])C2(C([H])([H])[H])C(=O)C([H])([H])C2(O[H])C2(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C12[H],True
2,0,1,2:0:1,-2.33324,[H]OC([H])([H])C1([H])C([H])([H])C2([H])OC(=O)C(=C([H])[H])C2([H])C([H])(O[H])C2(C([H])([H])[H])C(=O)C([H])([H])C2(O[H])C2(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C12[H],False
2,0,2,2:0:2,-2.01271,[H]OC([H])([H])C1([H])C([H])([H])C2([H])OC(=O)C(=C([H])[H])C2([H])C([H])(O[H])C2(C([H])([H])[H])C(=O)C([H])([H])C2(O[H])C2(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C12[H],False
3,0,0,3:0:0,-3.485,[H]c1c([H])c(C([H])(c2nc3c([H])c(Cl)c(Cl)c([H])c3n2[H])C([H])([H])C(=O)[O-])c([H])c([H])c1-n1nnnc1[H],True
3,0,1,3:0:1,-2.90874,[H]c1c([H])c(C([H])(c2nc3c([H])c(Cl)c(Cl)c([H])c3n2[H])C([H])([H])C(=O)[O-])c([H])c([H])c1-n1nnnc1[H],False
3,0,2,3:0:2,-2.70064,[H]c1c([H])c(C([H])(c2nc3c([H])c(Cl)c(Cl)c([H])c3n2[H])C([H])([H])C(=O)[O-])c([H])c([H])c1-n1nnnc1[H],False
4,0,0,4:0:0,-2.50102,[H]c1c([H])c([H])c2c(C(=O)N3C([H])([H])C4([H])C([H])([H])C([H])([H])C([H])([H])C4(C(=O)N([H])C([H])([H])C4([H])OC([H])([H])C([H])([H])OC4([H])[H])C3([H])[H])c([H])c([H])c([H])c2c1[H],True
