Step,Scaffold,SMILES,Metadata,SA Score,total_score
95,C=C1C(=O)C23CC1COCC2CCC12CC4C(OC(=O)c5ccc[nH]5)C5CC46C(COC3C1OC(=O)c1ncc[nH]1)C5CCC26,C=C1C(=O)C23CC1C(O)(O)OCC2CCC12C(OC(=O)c4ncc[nH]4)C3OC(NC(=S)NS(=O)N(C)C)C3C4C(C(C)(C)C)CC1C31CC4(C)C(C)(OC(=O)c3cccn3C)C1(C)C2OC,,8.397632599,8.397632599
146,C1NC2C3CC4CC5=[NH+]C6CC7CC4C3CC2C7C5CC16,CC=C[N+]1=C2CC3(O)C(OC(C)=O)C4(O)C5N(C)CC6C(F)C2C2C(CC61)CC3(O)C4C(OC)C25O,,7.985434055,7.985434055
149,O=C(OC1CC2COC3C1C2CCC1C2CC4OCC5CCCC(C54)C13C2)c1ccc[nH]1,C=C(C)C1(O)C2C(O)C3(C4OC(O)C5(C)C(OC(C)=O)C(OC(=O)c6ccc[nH]6)C4(C)C5CC(C)C23OC(C)=O)C2(O)C(C)CCC3C(CC)OC1(OC)C32,,7.88130331,7.88130331
128,C1=CC2=C3C4CCC5C6(O2)OC2=C1OC45C36Nc1ccccc12,Cn1c2ccccc2c2c3c(O)cc4c5C6(C)C(O)C(O)C7(C)C(O4)(O2)C51C67O3,,7.718200684,7.718200684
138,C1=CC23C4CC(CC5NCCN2C54)C3C12CC1OC1C2,CCC1CNC2CC3CC4C2(SC)N1C41C=CC2(C(N)C4OC4C2O)C31O,,7.697445869,7.697445869
130,O=C1c2ncccc2CC2CCC3CC4OC(c5ccccc5)(OC56CCC(CC4C5)C6)C12C3=O,C=CC12CCC3C(C)c4c(C)ccnc4C(=O)C3(C1=O)C1(c3ccccc3)OC(C2C)C2(O)CC3CCC(C3)(C2)O1,,7.676687241,7.676687241
145,C1=CC23CC4C5C6C1C(C6C42)C53,OCCC1C2C3C4C5C=CC16C3C5C4C26,,7.665053368,7.665053368
125,O=C1CCC23c4oc5ccccc5c4CC(NCC4CCCC4)C4c5cccc6c5C25CCC3N(CC2CC2)CC1C4C5O6,COC(=O)N(CC1(O)CCC(O)C1(C)C)C1(C)C2c3ccc(OC)c4c3C35CCC6N(CC7CC7)CC(C(=O)CCC63c3oc6ccccc6c3C1(C)C)C2(CC=C(C)C)C5O4,,7.603930473,7.603930473
135,O=C1C2CC34CCCC3C3COC5(CO5)C(C2O4)C13,CC(C)C1(O)C23CCCC2C2(C)COC4(CO4)C4C(O)(O3)C1(C)C(=O)C42C,,7.572441101,7.572441101
99,N=C1NC=NN2C=NC1=CC(OC1CCCCC34C(CCC3C3=CCC=CC34)C1)C2,C=CC1(C)CC(OC2cc3ncn(nc[nH]c3=N)C2)CC2C(C)CC3(C)C4=CCC(C)=CC4C23C(C)C1O,,7.569382191,7.569382191
150,C1CC23CC4CC5CCC(C5)CC2C4(C1)C3,COCC1C23CC(O)C(O)C4(C2)C3C(O)C2(OC)CCC(OC)(CC14COC)C2O,,7.520735741,7.520735741
111,C1CCC2C3CCC4C(C3)OC43CCCC34OC4CC2C1,CC1(CO)C(O)CCC2(C)C3CCC4(C)C(C3)OC43CC(O)C(O)C34OC4CC12,,7.506137371,7.506137371
145,C=C1CC23CC(=O)C4CC1CC2C=CCC3C4,C=C1C(O)C23C4C=C(C)C(O)C2(O)C(O)(CO)C(O)(C(=O)C3(C)O)C(O)C1(O)C4,,7.500398159,7.500398159
148,C1CCC2CCC34CCC5CC6CC(C5)CC5(C6)CC5C5CC(C3C1)C24CO5,CC1(C)CCCC2(C)C3CC4(O)OCC35C1CC(O)C25C(O)C(O)C1CC2CC(C1)CC1(C2)C(O)C41,,7.45881319,7.45881319
124,O=C1CC23COC4OCOC2CC2C(CCC43)N1C2c1ccc2c(c1)OCO2,COC1C(=O)N2C(c3ccc4c(c3)OCO4)C3(O)C(N)C4OCOC5(OC)OCC14C5C(OC(=O)CCC(C)C)CC23O,,7.447723866,7.447723866
136,C1CCC23C(C1)CC1OCC4OC2C2C4COCC123,CC1(C)CCCC23C4OC5COC(O)(C(O)C12)C31C(O)OC(O)C5C41,,7.431762218,7.431762218
