Wall time,Step,Value
1694064957,0,0
1694065141,1,-2.928937435
1694065269,2,-2.768139839
1694065393,3,-2.75643754
1694065795,4,-3.047414303
1694065918,5,-2.95439744
1694066035,6,-2.910490513
1694066160,7,-2.659440756
1694066280,8,-3.173894405
1694066682,9,-2.949984074
1694066852,10,-2.875840187
1694067020,11,-3.025936604
1694067193,12,-2.793091536
1694067622,13,-2.967754364
1694067799,14,-3.213965893
1694067918,15,-2.881754398
1694068038,16,-2.989779711
1694068184,17,-2.855121136
1694068495,18,-3.117218018
1694068617,19,-3.012915611
1694068738,20,-2.878075361
1694068865,21,-2.836619139
1694068996,22,-2.827320576
1694069399,23,-3.163972378
1694069582,24,-3.039273739
1694069703,25,-2.971948624
1694069820,26,-3.195501328
1694069992,27,-2.814228773
1694070332,28,-3.110751152
1694070507,29,-2.984642506
1694070619,30,-2.769918919
1694070786,31,-2.90765667
1694071256,32,-2.783998966
1694071422,33,-3.051182032
1694071529,34,-2.879850864
1694071634,35,-2.968145847
1694071741,36,-3.056738377
1694072142,37,-2.750910282
1694072263,38,-3.349157572
1694072433,39,-3.163689137
1694073031,40,-3.145319462
1694073197,41,-3.082813978
1694073313,42,-3.020988941
1694073426,43,-3.008045912
1694073543,44,-2.98874712
1694073942,45,-2.780104637
1694074061,46,-3.145727634
1694074185,47,-2.696317196
1694074310,48,-3.160850048
1694074432,49,-3.024034977
1694074901,50,-2.941734552
1694075019,51,-2.909614563
1694075144,52,-2.771734476
1694075272,53,-3.424602985
1694075827,54,-3.069311857
1694075965,55,-3.215570927
1694076096,56,-3.157298088
1694076227,57,-3.137266636
1694076740,58,-3.326062202
1694076870,59,-3.410574675
1694076994,60,-3.119309902
1694077118,61,-3.195059299
1694077596,62,-3.249620199
1694077768,63,-3.132849693
1694077961,64,-3.041781664
1694078086,65,-3.148999453
1694078490,66,-2.952475548
1694078612,67,-3.069638252
1694078751,68,-3.127482176
1694078878,69,-2.768139362
1694079060,70,-3.389942169
1694079371,71,-3.163140297
1694079556,72,-3.341750622
1694079750,73,-3.013875484
1694079931,74,-3.142686367
1694080244,75,-3.27264905
1694080370,76,-2.928222656
1694080561,77,-2.946471691
1694080693,78,-3.514911413
1694080824,79,-3.35946703
1694081226,80,-3.215086699
1694081348,81,-3.281764507
1694081486,82,-3.245081186
1694081611,83,-3.332140446
1694081733,84,-3.169864893
1694082163,85,-3.309093475
1694082292,86,-3.521085739
1694082416,87,-3.116321564
1694082538,88,-3.257289886
1694082660,89,-3.242197037
1694082973,90,-3.398116112
1694083227,91,-3.44841671
1694083356,92,-3.393656731
1694083479,93,-3.510030746
1694083973,94,-3.251680136
1694084163,95,-3.45938158
1694084287,96,-3.345855713
1694084411,97,-3.366270542
1694084813,98,-3.574223518
1694084937,99,-3.42840147
,,-3.513671875
