Wall time,Step,Value
1694064957,0,-31.45633888
1694065141,1,-30.11942482
1694065269,2,-28.26329231
1694065393,3,-32.12064362
1694065795,4,-30.75517273
1694065918,5,-31.19766808
1694066035,6,-30.11060524
1694066160,7,-30.31833267
1694066280,8,-33.78871155
1694066682,9,-30.13724518
1694066852,10,-31.74132729
1694067020,11,-32.85295105
1694067193,12,-30.73945045
1694067622,13,-30.34694672
1694067799,14,-32.31828308
1694067918,15,-31.58560944
1694068038,16,-30.94776344
1694068184,17,-33.16398621
1694068495,18,-34.30889511
1694068617,19,-33.16681671
1694068738,20,-32.96119308
1694068865,21,-33.10269547
1694068996,22,-33.67140198
1694069399,23,-33.33859253
1694069582,24,-33.52130127
1694069703,25,-31.74328613
1694069820,26,-32.31594849
1694069992,27,-32.33366776
1694070332,28,-31.72687912
1694070507,29,-32.8551445
1694070619,30,-31.16978073
1694070786,31,-31.52587509
1694071256,32,-31.92226028
1694071422,33,-33.95114136
1694071529,34,-32.83898163
1694071634,35,-32.45131683
1694071741,36,-32.3447113
1694072142,37,-32.28039551
1694072263,38,-31.50634193
1694072433,39,-34.00909042
1694073031,40,-31.51044846
1694073197,41,-32.03984833
1694073313,42,-31.79573441
1694073426,43,-32.272892
1694073543,44,-32.05522156
1694073942,45,-33.1014328
1694074061,46,-33.43761444
1694074185,47,-32.06771469
1694074310,48,-31.67319489
1694074432,49,-32.68419266
1694074901,50,-31.79878044
1694075019,51,-29.51109314
1694075144,52,-30.98214149
1694075272,53,-30.52072906
1694075827,54,-31.47992706
1694075965,55,-31.51567841
1694076096,56,-33.85691452
1694076227,57,-31.67199707
1694076740,58,-31.6133709
1694076870,59,-30.55501175
1694076994,60,-32.37926102
1694077118,61,-30.76007271
1694077596,62,-30.57134438
1694077768,63,-29.75416374
1694077961,64,-32.33177567
1694078086,65,-30.44784546
1694078490,66,-30.63339996
1694078612,67,-29.68304062
1694078751,68,-27.13512802
1694078878,69,-28.15385437
1694079060,70,-26.64639282
1694079371,71,-27.64001274
1694079556,72,-27.76862717
1694079750,73,-27.8231144
1694079931,74,-27.92833328
1694080244,75,-26.40030289
1694080370,76,-26.73706436
1694080561,77,-26.52817917
1694080693,78,-27.47813416
1694080824,79,-25.91896057
1694081226,80,-26.30470657
1694081348,81,-26.26909256
1694081486,82,-28.45468521
1694081611,83,-28.17548561
1694081733,84,-29.01498795
1694082163,85,-28.70328903
1694082292,86,-28.80835342
1694082416,87,-28.78880882
1694082538,88,-29.54100418
1694082660,89,-30.24361801
1694082973,90,-29.11547852
1694083227,91,-29.56730461
1694083356,92,-27.38286877
1694083479,93,-27.27246857
1694083973,94,-27.45115376
1694084163,95,-27.67086506
1694084287,96,-27.14369202
1694084411,97,-25.75311661
1694084813,98,-26.74900341
1694084937,99,-26.7654686
1694085021,100,-27.00037861
