ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
4,0,0,4:0:0,-2.87984,[H]OC([H])([H])C12C([H])(C(=O)C([H])([H])C([H])([H])C([H])=C(C([H])([H])[H])C([H])([H])[H])C(=O)C1(C([H])([H])[H])C1([H])S(=O)C3([H])C4(O[H])C([H])(O[H])OC5([H])OC(C([H])([H])[H])(C([H])(O[H])C([H])(O[H])C534)C13C1([H])C(=C([H])[H])C(=C([H])[H])C([H])([H])C2([H])C1(O[H])C([H])(O[H])C1([H])C([H])([H])C([H])([H])C3(C([H])([H])[H])C1(C([H])([H])[H])C([H])([H])[H],True
4,0,1,4:0:1,-1.01845,[H]OC([H])([H])C12C([H])(C(=O)C([H])([H])C([H])([H])C([H])=C(C([H])([H])[H])C([H])([H])[H])C(=O)C1(C([H])([H])[H])C1([H])S(=O)C3([H])C4(O[H])C([H])(O[H])OC5([H])OC(C([H])([H])[H])(C([H])(O[H])C([H])(O[H])C534)C13C1([H])C(=C([H])[H])C(=C([H])[H])C([H])([H])C2([H])C1(O[H])C([H])(O[H])C1([H])C([H])([H])C([H])([H])C3(C([H])([H])[H])C1(C([H])([H])[H])C([H])([H])[H],False
4,0,2,4:0:2,-0.582847,[H]OC([H])([H])C12C([H])(C(=O)C([H])([H])C([H])([H])C([H])=C(C([H])([H])[H])C([H])([H])[H])C(=O)C1(C([H])([H])[H])C1([H])S(=O)C3([H])C4(O[H])C([H])(O[H])OC5([H])OC(C([H])([H])[H])(C([H])(O[H])C([H])(O[H])C534)C13C1([H])C(=C([H])[H])C(=C([H])[H])C([H])([H])C2([H])C1(O[H])C([H])(O[H])C1([H])C([H])([H])C([H])([H])C3(C([H])([H])[H])C1(C([H])([H])[H])C([H])([H])[H],False
4,1,0,4:1:0,-3.70304,[H]OC([H])([H])C12C([H])(C(=O)C([H])([H])C([H])([H])C([H])=C(C([H])([H])[H])C([H])([H])[H])C(=O)C1(C([H])([H])[H])C1([H])S(=O)C3([H])C4(O[H])C([H])(O[H])OC5([H])OC(C([H])([H])[H])(C([H])(O[H])C([H])(O[H])C534)C13C1([H])C(=C([H])[H])C(=C([H])[H])C([H])([H])C2([H])C1(O[H])C([H])(O[H])C1([H])C([H])([H])C([H])([H])C3(C([H])([H])[H])C1(C([H])([H])[H])C([H])([H])[H],True
4,1,1,4:1:1,-3.64804,[H]OC([H])([H])C12C([H])(C(=O)C([H])([H])C([H])([H])C([H])=C(C([H])([H])[H])C([H])([H])[H])C(=O)C1(C([H])([H])[H])C1([H])S(=O)C3([H])C4(O[H])C([H])(O[H])OC5([H])OC(C([H])([H])[H])(C([H])(O[H])C([H])(O[H])C534)C13C1([H])C(=C([H])[H])C(=C([H])[H])C([H])([H])C2([H])C1(O[H])C([H])(O[H])C1([H])C([H])([H])C([H])([H])C3(C([H])([H])[H])C1(C([H])([H])[H])C([H])([H])[H],False
4,1,2,4:1:2,-3.26756,[H]OC([H])([H])C12C([H])(C(=O)C([H])([H])C([H])([H])C([H])=C(C([H])([H])[H])C([H])([H])[H])C(=O)C1(C([H])([H])[H])C1([H])S(=O)C3([H])C4(O[H])C([H])(O[H])OC5([H])OC(C([H])([H])[H])(C([H])(O[H])C([H])(O[H])C534)C13C1([H])C(=C([H])[H])C(=C([H])[H])C([H])([H])C2([H])C1(O[H])C([H])(O[H])C1([H])C([H])([H])C([H])([H])C3(C([H])([H])[H])C1(C([H])([H])[H])C([H])([H])[H],False
7,0,0,7:0:0,-5.13843,[H]OC1([H])C(=C([H])[H])C([H])([N+]2([H])C([H])([H])C([H])(O[H])C2([H])[H])C([H])([H])C1(F)C([H])([H])N([H])C(=O)C1([H])S(=O)S(=O)SC1([H])[H],True
7,0,1,7:0:1,-5.10201,[H]OC1([H])C(=C([H])[H])C([H])([N+]2([H])C([H])([H])C([H])(O[H])C2([H])[H])C([H])([H])C1(F)C([H])([H])N([H])C(=O)C1([H])S(=O)S(=O)SC1([H])[H],False
7,0,2,7:0:2,-4.46236,[H]OC1([H])C(=C([H])[H])C([H])([N+]2([H])C([H])([H])C([H])(O[H])C2([H])[H])C([H])([H])C1(F)C([H])([H])N([H])C(=O)C1([H])S(=O)S(=O)SC1([H])[H],False
7,1,0,7:1:0,-3.97049,[H]OC1([H])C(=C([H])[H])C([H])(N2C([H])([H])C([H])(O[H])C2([H])[H])C([H])([H])C1(F)C([H])([H])N([H])C(=O)C1([H])S(=O)S(=O)SC1([H])[H],True
