ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,0:0:0,-4.33257,[H]OC12OC([H])([H])C3(O[H])S(=O)C4(C([H])([H])[H])OC(C([H])([H])[H])(C([H])([H])[H])C3(O[H])C3(O[H])C(=O)OC([H])(C([H])(OC(=O)C([H])([H])[H])C3(O[H])C1([H])C([H])=C(C([H])([H])[H])C2=O)C1([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])(OC(=O)C([H])([H])[H])C1(C([H])([H])[H])C4([H])OC(=O)C([H])([H])[H],True
0,0,1,0:0:1,-3.14072,[H]OC12OC([H])([H])C3(O[H])S(=O)C4(C([H])([H])[H])OC(C([H])([H])[H])(C([H])([H])[H])C3(O[H])C3(O[H])C(=O)OC([H])(C([H])(OC(=O)C([H])([H])[H])C3(O[H])C1([H])C([H])=C(C([H])([H])[H])C2=O)C1([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])(OC(=O)C([H])([H])[H])C1(C([H])([H])[H])C4([H])OC(=O)C([H])([H])[H],False
0,0,2,0:0:2,-2.69517,[H]OC12OC([H])([H])C3(O[H])S(=O)C4(C([H])([H])[H])OC(C([H])([H])[H])(C([H])([H])[H])C3(O[H])C3(O[H])C(=O)OC([H])(C([H])(OC(=O)C([H])([H])[H])C3(O[H])C1([H])C([H])=C(C([H])([H])[H])C2=O)C1([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])(OC(=O)C([H])([H])[H])C1(C([H])([H])[H])C4([H])OC(=O)C([H])([H])[H],False
0,1,0,0:1:0,-1.88751,[H]OC12OC([H])([H])C3(O[H])S(=O)C4(C([H])([H])[H])OC(C([H])([H])[H])(C([H])([H])[H])C3(O[H])C3(O[H])C(=O)OC([H])(C([H])(OC(=O)C([H])([H])[H])C3(O[H])C1([H])C([H])=C(C([H])([H])[H])C2=O)C1([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])(OC(=O)C([H])([H])[H])C1(C([H])([H])[H])C4([H])OC(=O)C([H])([H])[H],True
3,34,0,3:34:0,-5.84304,[H]OC1([H])OC(C([H])([H])[H])(C([H])([H])[H])C2(O[H])C([H])(O[H])C([H])([H])C([H])(O[H])C3(O[H])OC([H])([H])C4(O[H])C([H])(O[H])C5(O[H])C([H])(O[H])C6([H])C([H])=C([H])C5([H])C5(OC(=C([H])C([H])([H])[H])C7([H])N(C(=O)C(=O)C(=C([H])C([H])([H])[H])C([H])([H])[H])C7(C([H])([H])[H])C7=C5C(=O)C5(O[H])C(=O)C(O[H])(C([H])([H])[H])C([H])(C7([H])[O-])C5([H])O[H])C5([H])C([H])([H])C([H])([H])S(=O)C(C#N)(C([H])([H])C4([H])C32C1([H])O[H])C65[H],True
6,0,0,6:0:0,-2.35645,[H]OC([H])([H])C([H])(C([H])([H])C(=O)OC1([H])C2([H])C([H])([H])C([H])(OC(=O)C([H])([H])[H])C(O[H])(C(=O)OC([H])([H])[H])C34C5(C([H])([H])[H])OC1(C(O[H])(C([H])([H])[H])C(=O)C([H])=C5[H])C1([H])C5(OC6([H])C([H])([H])C(N=[N+]=[N-])(O5)C6([H])C1(C([H])([H])[H])C([H])([H])[H])C1([H])OC1(C([H])([H])[H])C3([H])S(=O)C(O[H])(C1([H])C([H])=C(C([H])([H])[H])OC1([H])O[H])OC24C([H])([H])[H])C1([H])OC1([H])[H],True
9,0,0,9:0:0,-4.33332,[H]OC([H])(C([H])([H])[H])C([H])([H])C([H])([H])C1([H])OC2([H])C1(O[H])C1(C([H])([H])[H])C([H])(O[H])C3(O[H])OC3([H])C(=O)C2(C([H])([H])[H])C23C([H])([H])C([H])([H])C4(OC([H])([H])[H])C([H])([H])C5([H])C(O[H])(OC5(C([H])([H])[H])C1(O[H])S(=O)C([H])([H])C42C([H])([H])[H])C3([H])OC([H])([H])[H],True
9,0,1,9:0:1,-4.24257,[H]OC([H])(C([H])([H])[H])C([H])([H])C([H])([H])C1([H])OC2([H])C1(O[H])C1(C([H])([H])[H])C([H])(O[H])C3(O[H])OC3([H])C(=O)C2(C([H])([H])[H])C23C([H])([H])C([H])([H])C4(OC([H])([H])[H])C([H])([H])C5([H])C(O[H])(OC5(C([H])([H])[H])C1(O[H])S(=O)C([H])([H])C42C([H])([H])[H])C3([H])OC([H])([H])[H],False
9,0,2,9:0:2,-4.15442,[H]OC([H])(C([H])([H])[H])C([H])([H])C([H])([H])C1([H])OC2([H])C1(O[H])C1(C([H])([H])[H])C([H])(O[H])C3(O[H])OC3([H])C(=O)C2(C([H])([H])[H])C23C([H])([H])C([H])([H])C4(OC([H])([H])[H])C([H])([H])C5([H])C(O[H])(OC5(C([H])([H])[H])C1(O[H])S(=O)C([H])([H])C42C([H])([H])[H])C3([H])OC([H])([H])[H],False
9,1,0,9:1:0,-3.31945,[H]OC([H])(C([H])([H])[H])C([H])([H])C([H])([H])C1([H])OC2([H])C1(O[H])C1(C([H])([H])[H])C([H])(O[H])C3(O[H])OC3([H])C(=O)C2(C([H])([H])[H])C23C([H])([H])C([H])([H])C4(OC([H])([H])[H])C([H])([H])C5([H])C(O[H])(OC5(C([H])([H])[H])C1(O[H])S(=O)C([H])([H])C42C([H])([H])[H])C3([H])OC([H])([H])[H],True
9,1,1,9:1:1,-3.13013,[H]OC([H])(C([H])([H])[H])C([H])([H])C([H])([H])C1([H])OC2([H])C1(O[H])C1(C([H])([H])[H])C([H])(O[H])C3(O[H])OC3([H])C(=O)C2(C([H])([H])[H])C23C([H])([H])C([H])([H])C4(OC([H])([H])[H])C([H])([H])C5([H])C(O[H])(OC5(C([H])([H])[H])C1(O[H])S(=O)C([H])([H])C42C([H])([H])[H])C3([H])OC([H])([H])[H],False
9,1,2,9:1:2,-2.9661,[H]OC([H])(C([H])([H])[H])C([H])([H])C([H])([H])C1([H])OC2([H])C1(O[H])C1(C([H])([H])[H])C([H])(O[H])C3(O[H])OC3([H])C(=O)C2(C([H])([H])[H])C23C([H])([H])C([H])([H])C4(OC([H])([H])[H])C([H])([H])C5([H])C(O[H])(OC5(C([H])([H])[H])C1(O[H])S(=O)C([H])([H])C42C([H])([H])[H])C3([H])OC([H])([H])[H],False
14,0,0,14:0:0,-2.95179,[H]OC1([H])S(=O)C2([H])C34C(O[H])(OC13C([H])([H])[H])C([H])([H])C(C([H])=C([H])[H])(C([H])([H])[H])C(=O)C4(O[H])C1([H])OC(=O)C3(C([H])([H])C([H])(C([H])([H])[H])C([H])(OC(=O)C([H])([H])[H])C([H])(OC(=O)C([H])([H])[H])C3(C([H])([H])[H])O1)C2(C([H])([H])[H])C([H])([H])[H],True
14,0,1,14:0:1,-2.64705,[H]OC1([H])S(=O)C2([H])C34C(O[H])(OC13C([H])([H])[H])C([H])([H])C(C([H])=C([H])[H])(C([H])([H])[H])C(=O)C4(O[H])C1([H])OC(=O)C3(C([H])([H])C([H])(C([H])([H])[H])C([H])(OC(=O)C([H])([H])[H])C([H])(OC(=O)C([H])([H])[H])C3(C([H])([H])[H])O1)C2(C([H])([H])[H])C([H])([H])[H],False
14,0,2,14:0:2,-2.18816,[H]OC1([H])S(=O)C2([H])C34C(O[H])(OC13C([H])([H])[H])C([H])([H])C(C([H])=C([H])[H])(C([H])([H])[H])C(=O)C4(O[H])C1([H])OC(=O)C3(C([H])([H])C([H])(C([H])([H])[H])C([H])(OC(=O)C([H])([H])[H])C([H])(OC(=O)C([H])([H])[H])C3(C([H])([H])[H])O1)C2(C([H])([H])[H])C([H])([H])[H],False
